,date,total,price,condition,MPN,movement,case material,band material,model,listingType,start,url
221,4/20/2019,4992,4992,pre-owned,1601,Swiss Automatic,Stainless Steel,Stainless Steel,Date Just 1601,FixedPrice,4/13/2019,http://www.ebay.com/itm/mint-rolex-datejust-36mm-16200-diamond-bezel-mop-dial-oyster-watch-16220-/303125573556
224,4/19/2019,9675,9675,pre-owned,116710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,StoreInventory,3/27/2019,http://www.ebay.com/itm/rolex-gmt-master-ii-stainless-steel-black-dial-116710ln-/273780791329
225,4/19/2019,3725,3695,pre-owned,14000,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,FixedPrice,1/23/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-air-king-precision-blue-arabic-dial-ss-watch-w-papers-/264160252742
226,4/19/2019,3510,3500,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,4/19/2019,http://www.ebay.com/itm/men-s-rolex-datejust-1601-/133027762750
227,4/19/2019,5900,5900,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,4/19/2019,http://www.ebay.com/itm/authentic-stainless-steel-rolex-explorer-ii-/223488501818
228,4/19/2019,6200,6200,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory,12/20/2018,http://www.ebay.com/itm/rolex-datejust-26mm-president-18k-yellow-gold-diamond-bezel-band-tiger-eye-dia-/273618770599
229,4/19/2019,3101,3101,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,4/12/2019,http://www.ebay.com/itm/rolex-gents-stainless-steel-datejust-watch-36mm-ref-16030-blue-dial-/113716719864
230,4/19/2019,3350,3350,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,StoreInventory,4/11/2019,http://www.ebay.com/itm/rolex-datejust-steel-white-gold-silver-dial-vintage-mens-watch-1601-/333153288763
232,4/19/2019,5250,5200,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Oyster Steel,Rolex Oyster Perpetual 39,FixedPrice,4/18/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-114300-39mm-rare-and-newly-released-white-dial-mint-/303130056157
234,4/19/2019,3500,3500,pre-owned,6917,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 14k Yellow Gold,Rolex Datejust,StoreInventory,4/19/2019,http://www.ebay.com/itm/ladies-rolex-datejust-2-tone-14k-yellow-gold-stainless-steel-watch-white-mop-/163657185980
235,4/19/2019,7600,7600,pre-owned,16622,Mechanical (Automatic),"Stainless Steel, Platinum",Stainless Steel,Rolex Yacht-Master,StoreInventory,10/11/2018,http://www.ebay.com/itm/mint-rolex-yacht-master-16622-steel-platinum-rolesium-date-watch-box-papers-/273504270008
236,4/19/2019,3350,3350,pre-owned,6917,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 14k Yellow Gold,Rolex Datejust,StoreInventory,4/19/2019,http://www.ebay.com/itm/rolex-datejust-lady-31mm-gold-steel-champagne-dial-78273-jubilee-/382910272959
237,4/19/2019,3400,3400,pre-owned,14000,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,StoreInventory,1/4/2019,http://www.ebay.com/itm/rolex-air-king-precision-stainless-steel-blue-dial-14010m-/273638772517
239,4/19/2019,3114,3095,pre-owned,1601,Mechanical (Automatic),Gold,"Genuine Leather, Leather",Rolex Datejust,FixedPrice,2/12/2019,http://www.ebay.com/itm/vintage-gold-rolex-oyster-perpetual-datejust-chronometer-watch-36mm-/192823072710
240,4/19/2019,5700,5700,pre-owned,214270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice,4/16/2019,http://www.ebay.com/itm/rolex-explorer-214270-black-index-3-6-9-dial-2018-model-blue-lume-full-set-/133024675316
241,4/19/2019,3500,3500,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,1/31/2019,http://www.ebay.com/itm/rolex-datejust-36mm-16014-white-roman-silver-stainless-steel-jubilee-watch-/292941928880
243,4/19/2019,3548,3548,pre-owned,69173,Mechanical (Automatic),"18K Yellow Gold, 18K Gold, Yellow Gold, Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex Datejust,StoreInventory,2/27/2018,http://www.ebay.com/itm/womens-rolex-datejust-26mm-mother-pearl-diamond-numerals-18k-ss-/112840524552
245,4/19/2019,5000,5000,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,StoreInventory,4/19/2019,http://www.ebay.com/itm/rolex-mens-datejust-18k-ss-black-diamond-jubilee-quickset-16233-/192893788105
246,4/19/2019,5250,5250,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,StoreInventory,4/19/2019,http://www.ebay.com/itm/rolex-mens-datejust-18k-ss-black-diamond-jubilee-quickset-16233-w-papers-/183780723956
248,4/19/2019,3200,3200,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,10/8/2018,http://www.ebay.com/itm/rolex-datejust-stainless-steel-men-watch-w-silver-dial-/323489768081
250,4/19/2019,9025,9000,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,FixedPrice,4/19/2019,http://www.ebay.com/itm/2007-rolex-gmt-master-ii-stainless-black-ceramic-116710-n-ln-40mm-date-watch-/372655654314
256,4/19/2019,7943,7943,pre-owned,116610LN,Mechanical (Automatic),Stainless Steel,Stainless Steel,Submariner,FixedPrice,4/15/2019,http://www.ebay.com/itm/rolex-submariner-auto-40mm-steel-mens-oyster-bracelet-watch-date-116610ln-/293050365283
257,4/19/2019,3093,3093,pre-owned,67194,Mechanical (Automatic),Stainless Steel,Stainless Steel,OYSTER PERPETUAL,FixedPrice,11/9/2018,http://www.ebay.com/itm/2008-ladies-rolex-oyster-perpetual-pink-salmon-index-31mm-oyster-177200-watch-/273552425492
258,4/19/2019,9800,9800,pre-owned,126300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust,FixedPrice,4/5/2019,http://www.ebay.com/itm/rolex-datejust-41-auto-steel-yellow-gold-mens-jubilee-bracelet-watch-126333-/283442313577
264,4/19/2019,4050,4050,new with tags,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Deepsea,Auction,4/19/2019,http://www.ebay.com/itm/rolex-deepsea-sea-dweller-116660-stainless-steel-automatic-mens-watch-/273812786095
265,4/19/2019,4100,4000,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,4/10/2019,http://www.ebay.com/itm/rolex-ladies-oyster-perpetual-datejust-18k-gold-watch-box-69178-/202650297425
267,4/19/2019,7216,7188,pre-owned,6305,Mechanical (Automatic),Gold,Leather,Rolex Oyster Perpetual,Auction,4/12/2019,http://www.ebay.com/itm/rolex-19018n-18k-oysterquartz-day-date-mens-watch-w-box-recently-overhauled-/392275025606
268,4/19/2019,7101,7101,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,4/9/2019,http://www.ebay.com/itm/rolex-submariner-date-16610-2005-boxes-and-papers-no-reserve-/202649240186
269,4/19/2019,10415,10400,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,4/12/2019,http://www.ebay.com/itm/rolex-submariner-5513-meters-first-stunning-original-dial-must-see-1967-beauty-/254197099241
279,4/18/2019,7090,7090,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,Auction,4/15/2019,http://www.ebay.com/itm/rolex-submariner-date-blue-stainless-and-18k-yellow-gold-model-16613-/153452936036
281,4/18/2019,5393,5393,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,3/30/2019,http://www.ebay.com/itm/2001-mens-rolex-explorer-ii-16570-stainless-polar-white-date-gmt-40mm-watch-sel-/264261731693
282,4/18/2019,6500,6500,pre-owned,1675,Mechanical (Automatic),Stainless Steel,Steel,GMT Master,Auction,4/19/2019,http://www.ebay.com/itm/rolex-5513-meters-first-all-original-runs-and-keeps-time-/173877105190
283,4/18/2019,6794,6794,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,3/16/2019,http://www.ebay.com/itm/2003-unpolished-rolex-submariner-date-stainless-lume-40mm-black-sel-16610-watch-/153418289921
284,4/18/2019,3383,3383,pre-owned,6305,Mechanical (Automatic),Gold,Leather,Rolex Oyster Perpetual,Auction,4/13/2019,http://www.ebay.com/itm/rolex-mens-steel-18k-diamond-oyster-perpetual-16233-datejust-36mm-watch-7-/233194290276
286,4/18/2019,3925,3850,pre-owned,6605,Automatic,Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice,3/5/2019,http://www.ebay.com/itm/rolex-datejust-36mm-used-z47079-/312515571382
287,4/18/2019,9943,9943,pre-owned,Rolex GMT Master II 16710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT Master II,FixedPrice,11/16/2018,http://www.ebay.com/itm/mint-2005-no-holes-rolex-gmt-master-ii-stainless-black-red-16710-40mm-watch-/264044163174
289,4/18/2019,3374,3374,pre-owned,16014,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,4/10/2019,http://www.ebay.com/itm/mint-rolex-datejust-16014-36mm-18k-gold-stainless-steel-silver-tuxedo-jubilee-/264277937354
293,4/18/2019,6250,6250,pre-owned,16800,Mechanical (Automatic),Stainless Steel,Stainless Steel,Submariner,FixedPrice,10/21/2018,http://www.ebay.com/itm/rolex-submariner-16800-stainless-steel-black-dial-1984-40mm-watch-/332849197438
294,4/18/2019,5199,5199,seller refurbished,1601,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,FixedPrice,11/25/2018,http://www.ebay.com/itm/rolex-oyster-date-6694-mickey-mouse-wrist-watch-men-used-very-rare-authentic-f-s-/143027911733
295,4/18/2019,4514,4495,pre-owned,Does Not Apply,Automatic,Stainless Steel,Silver,Rolex Oyster Perpetual,StoreInventory,9/28/2018,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-wristwatch-18kwg-bezel-black-dial-ss-12k-value-/192673205598
298,4/18/2019,3149,3138,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction,4/11/2019,http://www.ebay.com/itm/1950s-18k-rolex-oyster-perpetual-precision-watch-6085-bubble-back-parts-/372649842737
299,4/18/2019,5500,5500,pre-owned,18239,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory,4/9/2019,http://www.ebay.com/itm/rolex-genuine-18k-yellow-gold-president-bracelet-18238-fits-all-36mm-day-date-/264276595638
313,4/17/2019,8500,8500,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,3/19/2019,http://www.ebay.com/itm/mens-18k-rolex-presidential-1803-/153421597299
315,4/17/2019,7000,7000,pre-owned,16803,Mechanical (Automatic),"Stainless Steel, Gold","Stainless Steel, Gold",Rolex Submariner,StoreInventory,4/17/2019,http://www.ebay.com/itm/rolex-submariner-16803-blue-serti-diamond-sapphire-two-tone-gold-watch-16613-/382906944550
316,4/17/2019,5499,5499,pre-owned,15003,Mechanical (Automatic),Stainless Steel & 18K Gold,Stainless Steel & 18K Gold,Date,StoreInventory,3/13/2019,http://www.ebay.com/itm/rolex-explorer-ii-16520-ss-automatic-mens-watch-w-date-u-serial-/233166191368
317,4/17/2019,7900,7900,pre-owned,"$10,900 ",Mechanical (Automatic),"18K Yellow Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice,4/17/2019,http://www.ebay.com/itm/rolex-datejust-36mm-stainleess-steel-18k-yellow-gold-black-roman-dial-116233-/113721420110
320,4/17/2019,5500,5500,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory,4/14/2019,http://www.ebay.com/itm/rolex-day-date-president-18038-mens-wrist-watch-18k-single-quickset-box-booklet-/223482699632
321,4/17/2019,5300,5300,pre-owned,2018,Automatic,Gold,904L stainless Steel,Datejust,Auction,4/10/2019,http://www.ebay.com/itm/rolex-datejust-smooth-bezel-black-dial-and-stainless-steel-band-/273801617728
322,4/17/2019,7500,7500,pre-owned,"$13,000 ",Automatic,Stainless Steel,"18K Yellow Gold, Stainless Steel",Rolex GMT-Master,StoreInventory,2/22/2018,http://www.ebay.com/itm/vintage-rolex-gmt-master-16753-18k-yg-steel-black-bezel-black-nipple-dial-w-box-/273081104001
326,4/17/2019,8895,8895,new with tags,126334,Mechanical (Automatic),"Stainless Steel, Gold",Stainless Steel,Rolex Datejust 41,StoreInventory,9/13/2018,http://www.ebay.com/itm/rolex-datejust-41mm-126334-silver-index-dial-2018-model-unused-papers-/183431880993
328,4/17/2019,4310,4300,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory,4/12/2019,http://www.ebay.com/itm/lovely-18k-yellow-gold-ladies-rolex-6917-diamonds-fits-7-wrist-x77-/153449278293
329,4/17/2019,8550,8500,pre-owned,16713,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel, Yellow Gold",Rolex GMT-Master II,StoreInventory,2/1/2019,http://www.ebay.com/itm/rolex-gmt-master-ii-16713-18k-yellow-gold-stainless-steel-black-dial-box-paper-/153360993970
330,4/17/2019,5900,5900,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,4/13/2019,http://www.ebay.com/itm/rolex-submariner-14060-no-date-stainless-steel-rare-original-complete-set-/183773188226
331,4/17/2019,5350,5350,pre-owned,16570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory,3/30/2019,http://www.ebay.com/itm/2000s-mens-rolex-stainless-steel-explorer-ii-watch-40mm-sel-oyster-black-16570-/113702664695
333,4/17/2019,6000,6000,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,4/17/2019,http://www.ebay.com/itm/1991-40mm-rolex-submariner-16610-stainless-steel-automatic-mens-watch-/153454675845
335,4/17/2019,7495,7495,new with tags,"$7,850 ",Automatic,Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,4/4/2019,http://www.ebay.com/itm/brand-new-rolex-datejust-116234-stainless-18k-gold-blue-dial-box-papers-2018-/273793324646
336,4/17/2019,7000,7000,pre-owned,6.83E+11,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,4/16/2019,http://www.ebay.com/itm/rolex-explorer-ii-216570-box-papers-full-bracelet-flawless-1yr-warranty-/233199987262
338,4/17/2019,3000,3000,pre-owned,69173,Mechanical (Automatic),"18K Yellow Gold, 18K Gold, Yellow Gold, Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex Datejust,Auction,4/17/2019,http://www.ebay.com/itm/womens-2007-rolex-datejust-26mm-ss-mother-pearl-roman-numeral-dial-/283454513157
340,4/17/2019,3895,3870,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction,4/10/2019,http://www.ebay.com/itm/rolex-datejust-wristwatch-ladies-18k-gold-diamond-ruby-bezel-2008-must-see-/264276730177
343,4/17/2019,11016,10988,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,4/10/2019,http://www.ebay.com/itm/rolex-submariner-5513-watch-stainless-steel-1967-meters-first-papers-must-see-/254194955563
346,4/17/2019,4999,4999,pre-owned,16013,Mechanical (Automatic),Stainless Steel,"18k Yellow Gold, Stainless Steel",Rolex Datejust,FixedPrice,4/17/2019,http://www.ebay.com/itm/rolex-mens-datejust-two-tone-36mm-mother-pearl-diamond-dial-fluted-bezel-/123737931921
348,4/16/2019,4950,4950,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,4/15/2019,http://www.ebay.com/itm/mens-rolex-diamond-datejust-1-9-ct-diamond-bezel-and-roman-bleu-dial-exquisite-/143215833621
349,4/16/2019,6250,6250,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,3/13/2019,http://www.ebay.com/itm/rolex-submariner-auto-40mm-steel-mens-oyster-bracelet-watch-date-16610-/273759350761
351,4/16/2019,9400,9400,pre-owned,69178,Mechanical (Automatic),18K Solid Gold,18K Solid Gold,Rolex Datejust,FixedPrice,4/15/2019,http://www.ebay.com/itm/rolex-womens-18k-gold-president-datejust-factory-diamond-dial-and-bracelet-/113719464499
353,4/16/2019,7999,7999,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,4/4/2019,http://www.ebay.com/itm/papers-mint-rolex-submariner-16613-two-tone-steel-18k-gold-blue-dial-dive-watch-/283441305355
354,4/16/2019,5300,5300,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory,4/9/2019,http://www.ebay.com/itm/rolex-datejust-69178-ladies-presidential-diamond-green-dial-18k-gold-watch-6-1-2-/352638727895
356,4/16/2019,4555,4555,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,4/9/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-39-114300-black-smooth-steel-39mm-/192885684410
358,4/16/2019,5192,5192,pre-owned,114270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice,4/2/2019,http://www.ebay.com/itm/mint-papers-rolex-explorer-black-36mm-114270-y-serial-steel-black-arabic-watch-/303115250952
360,4/16/2019,4899,4899,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,3/22/2018,http://www.ebay.com/itm/rolex-mens-datejust-watch-s-steel-18k-white-gold-green-diamond-emerald-dial-/253512648954
361,4/16/2019,4750,4750,pre-owned,Does not apply,Mechanical (Automatic),"Gold, 18k yellow gold",Leather,Rolex President,Auction,4/11/2019,http://www.ebay.com/itm/rolex-mens-18k-president-1803-day-date-watch-w-generic-strap-c-1969-/392274971392
363,4/16/2019,3519,3499,pre-owned,6548,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory,3/22/2019,http://www.ebay.com/itm/rare-vintage-rolex-1018-oyster-perpetual-cal-1570-stainless-steel-mens-watch-/273773803470
365,4/16/2019,5010,5000,pre-owned,Does Not Apply,Quartz (Battery),Gold,White Gold,Rolex Cellini,FixedPrice,12/6/2018,http://www.ebay.com/itm/rolex-ref-6623-cellini-18k-yellow-gold-quartz-mesh-bracelet-wristwatch-36-mm-/254014968872
366,4/16/2019,3820,3800,pre-owned,69173,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,StoreInventory,2/21/2019,http://www.ebay.com/itm/rolex-datejust-36mm-ref-16234-/153389575194
369,4/16/2019,7992,7992,pre-owned,6517,Automatic,"Solid Gold, Rose Gold",Rose Gold,Rolex Lady-Datejust,FixedPrice,4/15/2019,http://www.ebay.com/itm/mint-rolex-datejust-36mm-16018-18k-yellow-gold-mop-diamond-president-watch-/303127083351
371,4/16/2019,9200,9200,pre-owned,1803,Mechanical (Automatic),18K Yellow Gold,Solid Gold,Rolex President,FixedPrice,3/6/2019,http://www.ebay.com/itm/rolex-18k-yellow-gold-36mm-day-date-president-1803-box-vintage-warranty-papers-/233156670951
372,4/16/2019,7500,7500,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,4/17/2019,http://www.ebay.com/itm/rolex-submariner-40mm-/392278083947
373,4/16/2019,9500,9500,pre-owned,16622,Automatic Self Wind,"Platinum, Stainless Steel",Platinum,Rolex Yacht-Master,FixedPrice,4/15/2019,http://www.ebay.com/itm/rolex-steel-platinum-yacht-master-37mm-dark-rhodium-blue-dial-/254200945654
375,4/16/2019,3500,3500,pre-owned,1625,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Datejust,FixedPrice,3/28/2019,http://www.ebay.com/itm/rolex-turn-o-graph-thunderbird-two-tone-1625-/382868841591
376,4/16/2019,7000,7000,pre-owned,116334,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust II,FixedPrice,12/6/2018,http://www.ebay.com/itm/rolex-datejust-ii-auto-41mm-steel-white-gold-mens-oyster-bracelet-watch-116334-/273597809761
378,4/16/2019,5800,5800,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,4/16/2019,http://www.ebay.com/itm/rolex-datejust-mens-stainless-steel-18k-white-gold-black-watch-jubilee-1601-/153453278240
